X,Y,OBJECTID,OFFICIAL_STORE_NAME,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
-75.11688459983489,39.988888611931202,110,Cambria Mini Market,2085 E Cambria St,2,Basic,19134
-75.130920856971159,40.055340893455252,111,Candy 4 Days,712 Oak Lane,2,Basic,19126
-75.136017725516353,39.980476797245508,112,Canemo Grocery,172 W Norris St,3,Enhanced,19122
-75.132836998502341,40.000698486775256,113,Caribe Grocery,3301 N 2Nd St,2,Basic,19140
-75.136552886564203,40.014749009403289,114,Carlos Mini Market #1,4171 N Fairhill St,1,Basic,19140
-75.11578353458458,39.996859098657687,115,Carmen  Grocery,767 East Allegheny Ave,2,Basic,19134
-75.181688215972599,39.987440552513931,116,Carolina Market,2952 Ridge Ave,2,Basic,19121
-75.111512622948666,39.997468603654205,117,Casablanca Grocery,3257 Kensington Ave,3,Enhanced,19134
-75.055745565298096,40.062199425647819,118,Castor Discount,8011 Castor Ave,3,Enhanced,19152
-75.171422624390203,39.932113089174472,119,Castro Grocery,1500 S 16Th St,1,Basic,19146
-75.163369552375187,40.044538357100272,120,Cawleys Market,5616 Chew Ave,3,Enhanced,19138
-75.177485233845317,39.981191018498571,121,Cecil B Moore Grocery,2604 Cecil B Moore Ave,2,Basic,19121
-75.226932022451422,39.950461919573108,122,Cedar Food Market Inc.,600 S 52nd St,2,Certification,19143
-75.238876718256975,39.964873639033605,123,Cesars Mini Market,5934 Race St,3,Enhanced,19139
-75.222313040124831,39.948007623007641,124,Charlie and Kims Market,4922 Baltimore Ave,3,Enhanced,19143
-75.213968193000582,39.945933291696626,125,Chester Food Plaza,4700 Chester Ave,1,Basic,19143
-75.099431341373048,40.007337179614609,126,Chevere Mini Market #1,1443 E Luzerne St,2,Basic,19124
-75.065155662350492,40.050640618444184,127,Chopan Food Market,2028 Cottman Ave,2,Basic,19149
-75.180059614462479,39.941806826992917,128,Christian Food Market,2243 Christian Street,3,Enhanced,19146
-75.137558363192738,39.993442057802632,129,Chuchu Mini Market,323 W Somerset St,3,Enhanced,19133
-75.154886556591109,39.930796492778214,130,Chuen Hing Grocery,1414 S 6th St,1,Basic,19147
-75.202055931628465,39.960464126173164,131,City Food Market,401 N 40th St,2,Basic,19104
-75.166507130144552,39.976452959660101,132,City Food Market,1445 North 19th St,3,Enhanced,19121
-75.10862117804453,39.997019171212123,133,Cleotilde Grocery,3339 Jasper St,3,Enhanced,19134
-75.157827399644702,40.052065653903725,134,CNA Tropical Market,6402 Wister St,2,Basic,19138
-75.150149488238839,40.021747413323304,135,Collado Grocery,4501 N 15Th St,1,Basic,19140
-75.153422173804316,40.043623350304962,136,Collado Grocery,1956 Nedro Avenue,2,Basic,19141
-75.111357756925429,39.999363042448508,137,Collado Mini Market,942 E Ontario St,1,Basic,19134
-75.210388458856968,40.019912982791539,138,Commissary Food Market,5255 Ridge Ave,3,Enhanced,19128
-75.182229809778207,39.980434637096835,139,Community Food Market Llc #1,2901 W Oxford St,3,Enhanced,19121
-75.229423453654761,39.984520031469295,140,Community Mini Market,1801 Georges Ln,2,Basic,19131
-75.24724486694268,39.970588518223444,141,Community Mini Market,6400 W Girard Ave,3,Enhanced,19151
-75.142710943368854,40.027037004951239,142,Community Variety Grocery Store,1116-18 Rockland St,2,Basic,19141
-75.169851697757963,40.028506203553533,143,Complete Grocery And Deli,147 W Hansberry St,1,Basic,19144
-75.224578517174749,39.956896295731767,144,Connies Food Store,5153 Walnut St,2,Certification,19139
-75.165795503735865,39.924684955934225,145,Convenience Grocery,2015 S 12th St,3,Enhanced,19148
-75.137002750950757,39.993364950762256,146,"Coral 1, 2, 3 y Mas",301 West Somerset St.,3,Enhanced,19133
-75.155387524212102,40.005137913692707,147,Corner Food Market,3401 N 16th St,3,Certification,19140
-75.031891692195515,40.031786176668291,148,Cottman Grocery,7417 Torresdale Ave,3,Enhanced,19136
-75.220516076911437,39.96711743531494,149,CPC Grocery,850 N 50th St,1,Basic,19139
-75.119973852597155,39.992827960364252,150,CR Grocery,2907 Kensington Ave,3,Enhanced,19134
-75.237839595562377,39.987925665974387,151,Crest Food Market,5731 Malvern Ave,2,Basic,19131
-75.157344778018299,39.927018710346957,152,Cristo Rey Tienda Mexicana,1724 South 7Th St 1st Fl,1,Basic,19148
-75.182192340946074,39.928869733297049,153,Cruz & F Grocery,1838 S 22nd St,1,Basic,19145
-75.178833970633278,39.927181708371336,154,Cruz Brother Mini Market,1941 S 20th St,1,Basic,19145
-75.175516159078143,39.927639253441626,155,Cruzs Grocery,1901 S 18Th St,2,Basic,19145
-75.160093782443482,39.991542826431861,156,Cumberland Food Market,2500 N 17th St,2,Basic,19132
-75.128421750803895,39.972695006820686,157,D & C Deli Grocery,543 E Thompson St,3,Certification,19125
